0	1
1	6
2	3
3	6
3	7
4	5
5	7
6	8
7	8
7	9
8	10
9	12
10	11
10	13
12	13
12	14
13	15
14	17
15	16
15	18
16	17
17	18
18	19
19	23
19	24
20	21
21	23
22	23
23	25
24	25
25	26
26	31
27	28
28	32
29	30
30	32
31	32
32	33
33	34
33	35
35	36
35	39
36	37
37	38
37	39
37	40
39	41
40	43
41	42
41	44
42	43
43	44
44	45
45	46
45	49
46	47
47	48
47	49
47	50
49	50
50	53
51	52
52	54
53	54
53	55
54	56
55	59
56	60
57	58
58	61
59	62
60	63
61	64
62	65
63	66
64	67
65	68
66	69
67	70
68	71
69	71
70	71
71	72
72	75
73	74
74	75
74	76
75	77
76	79
76	80
77	80
78	79
79	81
80	81
81	82
82	87
83	84
84	88
85	86
86	88
87	88
88	89
89	91
89	92
90	91
91	93
92	95
93	94
93	96
94	95
95	96
96	97
